A001	structural:004	CONFOUNDED	DEAD
A002	other:108	SUSPECT-INSTRUMENT	LANDED
A003	weather:003	CONFOUNDED	DEAD
A004	creatures:028	SUSPECT-INSTRUMENT	META
A005	worldgen:003	CONFOUNDED	DEAD
A006	structural:035	CONFOUNDED	DEAD
A007	destruction:009	COSTED	DEAD
A008	structural:071	COSTED	DEAD
A009	plants:123	CONFOUNDED	DEAD
A010	liquids:006	CONFOUNDED	RE-TESTED
A011	weather:015	CONFOUNDED	META
A012	structural:024	CONFOUNDED	META
A013	rendering:012	EXPIRED	META
A014	other:073	DEAD	COSTED
A015	destruction:027	CONFOUNDED	DEAD
A016	liquids:034	COSTED	RE-TESTED
A017	destruction:039	CONFOUNDED	META
A018	liquids:056	CONFOUNDED	RE-TESTED
A019	other:103	SUSPECT-INSTRUMENT	META
A020	structural:006	COSTED	DEAD
A021	structural:047	COSTED	LANDED
A022	rendering:017	SUSPECT-INSTRUMENT	META
A023	weather:008	CONFOUNDED	DEAD
A024	weather:001	CONFOUNDED	DEAD
A025	weather:013	CONFOUNDED	DEAD
A026	plants:037	CONFOUNDED	DEAD
A027	weather:016	CONFOUNDED	DEAD
A028	creatures:020	SUSPECT-INSTRUMENT	META
A029	plants:119	CONFOUNDED	LANDED
A030	liquids:057	CONFOUNDED	DEAD
A031	character:016	CONFOUNDED	DEAD
A032	plants:163	CONFOUNDED	DEAD
A033	creatures:056	CONFOUNDED	DEAD
A034	liquids:040	CONFOUNDED	DEAD
A035	other:100	SUSPECT-INSTRUMENT	META
A036	destruction:040	SUSPECT-INSTRUMENT	META
A037	structural:034	CONFOUNDED	DEAD
A038	other:029	CONFOUNDED	DEAD
A039	plants:025	CONFOUNDED	DEAD
A040	structural:023	CONFOUNDED	DEAD
A041	powders:002	CONFOUNDED	DEAD
A042	other:009	COSTED	DEAD
A043	worldgen:004	CONFOUNDED	DEAD
A044	creatures:015	CONFOUNDED	DEAD
A045	plants:044	COSTED	DEAD
A046	plants:081	EXPIRED	RE-TESTED
A047	destruction:055	SUSPECT-INSTRUMENT	DEAD
A048	other:020	COSTED	DEAD
A049	powders:020	CONFOUNDED	DEAD
A050	structural:018	CONFOUNDED	DEAD
A051	rendering:010	DEAD	COSTED
A052	structural:016	COSTED	DEAD
A053	powders:001	CONFOUNDED	DEAD
A054	liquids:045	CONFOUNDED	DEAD
A055	creatures:074	CONFOUNDED	RE-TESTED
A056	other:088	CONFOUNDED	DEAD
A057	powders:003	COSTED	UNBUILT
A058	creatures:048	CONFOUNDED	DEAD
A059	plants:064	DEAD	EXPIRED
A060	weather:020	CONFOUNDED	DEAD
A061	plants:080	CONFOUNDED	LANDED
A062	field:036	COSTED	DEAD
A063	creatures:031	SUSPECT-INSTRUMENT	META
A064	field:005	COSTED	DEAD
A065	creatures:079	CONFOUNDED	DEAD
A066	powders:013	COSTED	DEAD
A067	rendering:048	EXPIRED	DEAD
A068	liquids:059	CONFOUNDED	DEAD
A069	structural:059	CONFOUNDED	DEAD
A070	scheduler:001	CONFOUNDED	DEAD
A071	plants:014	DEAD	SUSPECT-INSTRUMENT
