B1-001	other:080	UNWIRED	cand
B1-002	powders:008	DEAD	ctrl
B1-003	plants:050	DEAD	ctrl
B1-004	structural:004	CONFOUNDED	cand
B1-005	other:108	SUSPECT-INSTRUMENT	cand
B1-006	plants:018	DEAD	ctrl
B1-007	weather:003	CONFOUNDED	cand
B1-008	creatures:028	SUSPECT-INSTRUMENT	cand
B1-009	creatures:080	CONFOUNDED	cand
B1-010	worldgen:003	CONFOUNDED	cand
B1-011	structural:077	DEAD	ctrl
B1-012	structural:035	CONFOUNDED	cand
B1-013	destruction:009	COSTED	cand
B1-014	structural:071	COSTED	cand
B1-015	plants:004	COSTED	cand
B1-016	field:032	DEAD	ctrl
B1-017	plants:123	CONFOUNDED	cand
B1-018	creatures:054	DEAD	ctrl
B1-019	field:025	DEAD	ctrl
B1-020	structural:064	DEAD	ctrl
B1-021	liquids:006	CONFOUNDED	cand
B1-022	weather:015	CONFOUNDED	cand
B1-023	plants:137	DEAD	ctrl
B1-024	plants:033	DEAD	ctrl
B1-025	structural:024	CONFOUNDED	cand
B1-026	structural:057	DEAD	ctrl
B1-027	field:003	COSTED	cand
B1-028	worldgen:017	DEAD	ctrl
B1-029	other:053	DEAD	ctrl
B1-030	rendering:012	EXPIRED	cand
B1-031	other:073	DEAD	ctrl
B1-032	structural:043	DEAD	ctrl
B1-033	liquids:035	COSTED	cand
B1-034	destruction:027	CONFOUNDED	cand
B1-035	liquids:034	COSTED	cand
B1-036	destruction:039	CONFOUNDED	cand
B1-037	structural:045	DEAD	ctrl
B1-038	liquids:056	CONFOUNDED	cand
B1-039	other:115	CONFOUNDED	cand
B1-040	destruction:079	DEAD	ctrl
B1-041	other:103	SUSPECT-INSTRUMENT	cand
B1-042	creatures:053	DEAD	ctrl
B1-043	structural:006	COSTED	cand
B1-044	structural:020	DEAD	ctrl
B1-045	destruction:050	EXPIRED	cand
B1-046	structural:047	COSTED	cand
B1-047	plants:133	DEAD	ctrl
B1-048	rendering:017	SUSPECT-INSTRUMENT	cand
B1-049	scheduler:003	DEAD	ctrl
B1-050	weather:008	CONFOUNDED	cand
B1-051	field:030	DEAD	ctrl
B1-052	destruction:076	DEAD	ctrl
B1-053	weather:001	CONFOUNDED	cand
B1-054	weather:013	CONFOUNDED	cand
B1-055	creatures:014	DEAD	ctrl
B1-056	worldgen:006	DEAD	ctrl
B1-057	other:074	CONFOUNDED	cand
B1-058	destruction:022	DEAD	ctrl
B1-059	powders:019	COSTED	cand
B1-060	plants:002	COSTED	cand
B1-061	plants:160	DEAD	ctrl
B1-062	plants:037	CONFOUNDED	cand
B1-063	destruction:087	DEAD	ctrl
B1-064	field:016	COSTED	cand
B1-065	weather:016	CONFOUNDED	cand
B1-066	structural:074	EXPIRED	cand
B1-067	structural:028	DEAD	ctrl
B1-068	other:063	CONFOUNDED	cand
B1-069	creatures:020	SUSPECT-INSTRUMENT	cand
B1-070	structural:072	DEAD	ctrl
B1-071	plants:119	CONFOUNDED	cand
B1-072	liquids:057	CONFOUNDED	cand
B1-073	character:016	CONFOUNDED	cand
B1-074	structural:078	DEAD	ctrl
B1-075	structural:080	DEAD	ctrl
B1-076	field:035	DEAD	ctrl
B1-077	plants:134	DEAD	ctrl
B1-078	plants:015	CONFOUNDED	cand
B1-079	plants:163	CONFOUNDED	cand
B1-080	plants:116	DEAD	ctrl
B1-081	plants:144	DEAD	ctrl
B1-082	worldgen:018	DEAD	ctrl
B1-083	creatures:056	CONFOUNDED	cand
B1-084	liquids:040	CONFOUNDED	cand
B1-085	rendering:005	DEAD	ctrl
B1-086	creatures:037	DEAD	ctrl
B1-087	other:100	SUSPECT-INSTRUMENT	cand
B1-088	plants:165	DEAD	ctrl
B1-089	plants:143	DEAD	ctrl
B1-090	creatures:068	DEAD	ctrl
B1-091	destruction:040	SUSPECT-INSTRUMENT	cand
B1-092	other:098	DEAD	ctrl
B1-093	creatures:045	DEAD	ctrl
B1-094	plants:031	CONFOUNDED	cand
B1-095	destruction:091	DEAD	ctrl
B1-096	liquids:015	DEAD	ctrl
B1-097	other:117	DEAD	ctrl
B1-098	plants:131	DEAD	ctrl
B1-099	structural:034	CONFOUNDED	cand
B1-100	other:029	CONFOUNDED	cand
B1-101	plants:025	CONFOUNDED	cand
B1-102	structural:023	CONFOUNDED	cand
B1-103	plants:159	COSTED	cand
B1-104	creatures:062	DEAD	ctrl
B1-105	powders:002	CONFOUNDED	cand
B1-106	creatures:010	DEAD	ctrl
