B1-001	SUSPECT-INSTRUMENT	2	The run horizon hid the effect: herb's mean generation is ~2.3 where the degenerate-optimum risk needs ~6, and the entry itself says the prediction is untested rather than refuted.
B1-002	DEAD	3	Counterexample from the experimental record (sharply peaked and Gaussian-like avalanche distributions against SOC's power law), plus a superseding two-angle plus velocity-weakening model.
B1-003	DEAD	3	Arithmetic: +/-15% of an integer plastochron base of 2 rounds back to 2, so one flat width cannot vary an integer trait at all.
B1-004	DEAD	2	Superseding shipped rule measures 18x better (-76 against -1,357/-1,534) and both narrower forms fail by construction because the scree is deeper than GRAIN_FOOTING_PROBE, still 8 in src/sim/load.rs.
B1-005	LANDED	2	The entry's own re-test (six seeds, same-session main rebuild, commit 5da9f75d) found the -25% shortfall was a stale-baseline artifact and the shipped size clears the bar by a wide margin.
B1-006	DEAD	3	A ratio bound is scale-free, so it cannot bound absolute size; measured as a 13% biomass tax that changed nothing about saturation.
B1-007	DEAD	3	Contradictory requirements across two games: a local humidity reading cannot tell a sealed bed from an open puddle, resolved by a discriminating bit (World::enclosure) rather than any rate.
B1-008	META	3	The thing rejected is the sweep's terrain preset - an instrument choice, not an engine mechanism.
B1-009	CONFOUNDED	2	A neighbouring subsystem swamps it: the float's own broken gate puts 96% of airborne frames on power and 55% of colony burn on lift, and alive is 0 on all six runs either way.
B1-010	DEAD	3	A RegionMap region is 102-256 columns, a fifth to a half of the window the contrast is judged in, so the gate cannot express the feature; superseded by Purpose::RockCountry at 1700 columns.
B1-011	DEAD	3	Count-to-infinity during partial convergence is structural to spreading the solve across frames at MAX_SITES_PER_FRAME; terrain visibly crumbles on a fresh world.
B1-012	DEAD	2	The clamped quantity is not the binding one - the constraint is span through torque = M x arm, so relieving mass is a no-op wherever roof-cell mass is already under the cap.
B1-013	DEAD	3	Non-termination: a structural failure that cannot convert its cell is rescheduled forever (42,267 failures against 302), and log.ron still ships breaks_into.
B1-014	DEAD	3	Redundant by construction - support_parent re-derives the identical argmin from stored distances - plus the position-keyed side table is the documented determinism trap (issue #7).
B1-015	COSTED	2	Measured paired on four world seeds and negative on the tree's own seed budget (launch_price 1.87x per seed), with a named condition - allocate_to_frontier's surplus going to zero at the ceiling - that changes the arithmetic.
B1-016	DEAD	3	Arithmetic: the interpolation weight must normalise over the FIELD_SCALE-wide field cell, not over one world unit.
