B2-001	structural:003	CONFOUNDED	cand
B2-002	plants:138	DEAD	ctrl
B2-003	field:019	COSTED	cand
B2-004	field:009	DEAD	ctrl
B2-005	field:015	DEAD	ctrl
B2-006	destruction:035	DEAD	ctrl
B2-007	other:035	DEAD	ctrl
B2-008	other:099	DEAD	ctrl
B2-009	plants:001	COSTED	cand
B2-010	other:009	COSTED	cand
B2-011	destruction:021	DEAD	ctrl
B2-012	plants:120	DEAD	ctrl
B2-013	worldgen:004	CONFOUNDED	cand
B2-014	creatures:015	CONFOUNDED	cand
B2-015	liquids:052	DEAD	ctrl
B2-016	destruction:089	DEAD	ctrl
B2-017	rendering:011	DEAD	ctrl
B2-018	plants:044	COSTED	cand
B2-019	worldgen:005	COSTED	cand
B2-020	scheduler:007	COSTED	cand
B2-021	plants:081	EXPIRED	cand
B2-022	rendering:039	COSTED	cand
B2-023	structural:062	DEAD	ctrl
B2-024	other:041	DEAD	ctrl
B2-025	creatures:009	DEAD	ctrl
B2-026	destruction:055	SUSPECT-INSTRUMENT	cand
B2-027	plants:098	DEAD	ctrl
B2-028	structural:066	DEAD	ctrl
B2-029	structural:011	DEAD	ctrl
B2-030	other:020	COSTED	cand
B2-031	other:101	DEAD	ctrl
B2-032	other:093	COSTED	cand
B2-033	powders:020	CONFOUNDED	cand
B2-034	structural:018	CONFOUNDED	cand
B2-035	creatures:049	CONFOUNDED	cand
B2-036	powders:005	DEAD	ctrl
B2-037	powders:011	DEAD	ctrl
B2-038	creatures:033	COSTED	cand
B2-039	rendering:010	DEAD	ctrl
B2-040	structural:016	COSTED	cand
B2-041	powders:001	CONFOUNDED	cand
B2-042	structural:019	DEAD	ctrl
B2-043	scheduler:013	DEAD	ctrl
B2-044	weather:004	CONFOUNDED	cand
B2-045	other:097	CONFOUNDED	cand
B2-046	liquids:045	CONFOUNDED	cand
B2-047	parallelism:008	DEAD	ctrl
B2-048	destruction:066	DEAD	ctrl
B2-049	other:040	DEAD	ctrl
B2-050	other:048	CONFOUNDED	cand
B2-051	other:110	SUSPECT-INSTRUMENT	cand
B2-052	creatures:074	CONFOUNDED	cand
B2-053	destruction:088	DEAD	ctrl
B2-054	other:088	CONFOUNDED	cand
B2-055	liquids:046	DEAD	ctrl
B2-056	worldgen:022	CONFOUNDED	cand
B2-057	creatures:030	CONFOUNDED	cand
B2-058	destruction:090	DEAD	ctrl
B2-059	powders:003	COSTED	cand
B2-060	other:068	CONFOUNDED	cand
B2-061	character:001	DEAD	ctrl
B2-062	creatures:076	DEAD	ctrl
B2-063	creatures:048	CONFOUNDED	cand
B2-064	plants:058	EXPIRED	cand
B2-065	structural:037	COSTED	cand
B2-066	plants:003	DEAD	ctrl
B2-067	plants:064	DEAD	ctrl
B2-068	weather:020	CONFOUNDED	cand
B2-069	plants:080	CONFOUNDED	cand
B2-070	plants:088	DEAD	ctrl
B2-071	plants:012	DEAD	ctrl
B2-072	liquids:009	DEAD	ctrl
B2-073	field:036	COSTED	cand
B2-074	creatures:031	SUSPECT-INSTRUMENT	cand
B2-075	field:005	COSTED	cand
B2-076	character:008	DEAD	ctrl
B2-077	plants:045	DEAD	ctrl
B2-078	other:052	DEAD	ctrl
B2-079	destruction:034	EXPIRED	cand
B2-080	powders:014	DEAD	ctrl
B2-081	plants:010	COSTED	cand
B2-082	rendering:025	COSTED	cand
B2-083	creatures:079	CONFOUNDED	cand
B2-084	destruction:029	DEAD	ctrl
B2-085	powders:012	DEAD	ctrl
B2-086	plants:124	EXPIRED	cand
B2-087	field:007	DEAD	ctrl
B2-088	other:094	CONFOUNDED	cand
B2-089	structural:086	DEAD	ctrl
B2-090	powders:013	COSTED	cand
B2-091	other:044	DEAD	ctrl
B2-092	field:029	DEAD	ctrl
B2-093	rendering:048	EXPIRED	cand
B2-094	other:026	DEAD	ctrl
B2-095	other:050	DEAD	ctrl
B2-096	destruction:077	DEAD	ctrl
B2-097	worldgen:015	DEAD	ctrl
B2-098	liquids:012	DEAD	ctrl
B2-099	liquids:059	CONFOUNDED	cand
B2-100	structural:059	CONFOUNDED	cand
B2-101	scheduler:001	CONFOUNDED	cand
B2-102	other:067	DEAD	ctrl
B2-103	plants:122	DEAD	ctrl
B2-104	liquids:022	DEAD	ctrl
B2-105	rendering:027	DEAD	ctrl
B2-106	plants:014	DEAD	ctrl
